hi pibo,hello. It's a pibo.
How much money does it cost to arrange a wedding?,"Depending on your desire, there will be a world difference."
Marriage costs a lot of money,It's hypocrisy.
how much money does it cost to get married,"Depending on your desire, there will be a world difference."
Would you like to get married?,Try it.
should i get married,"If we work hard together, we will be happy."
Will you be happy if you get married?,"If we work hard together, we will be happy."
Are you happy when you get married?,"Each person has a different level of happiness, but you will be happy."
Will you be happy if you get married?,"Each person has a different level of happiness, but you will be happy."
Shall we marry,You can do it if you have the ability.
can i get married,You can do it if you have the ability.
can i marry,Do it with the person you want to be.
should i get married,Try it.
the competition is too fierce,It seems to be getting more intense.
can i continue studying,I guess I'm not sure
It's annoying to keep trying,You seem to like stability.
It would be nice to continue vacation,Vacation is very short.
I want to keep seeing you,go see
What if I want to keep watching?,go see
I keep feeling really bad,"If it still doesn't feel well, go to the hospital."
a constant feeling,I guess the timing wasn't right.
I want to continue to be a student,You must get a job now.
I keep sighing,It's a natural phenomenon to supply energy to brain cells. I guess I'm low on energy.
High school 3 should only study.,Studying comes first.
"I'm in my third year of high school, so I should study",Studying comes first.
I need to go on a sweet potato diet,Don't push yourself too hard.
I should only eat sweet potatoes and go on a diet,Don't push yourself too hard.
I want to eat grilled meat.,"In low pressure, it's in front of the meat."
I want to eat meat,"In low pressure, it's in front of the meat."
Straightener Fucked,It takes practice.
"I ironed it, but it ruined it",It takes practice.
lonely night,You are not alone.
There are many people to thank,There must be a lot of people.
What to do if you wear rubber shoes upside down,Do not worry too much.
I'm worried,say yes
Will you listen to my worries?,say yes
What if I confess and regret,Regret only breeds regret. Be brave.
Gosiwon is so frustrating,You will be able to save money and move to another place.
Gosiwon is stuffy,You will be able to save money and move to another place.
I want to get out of the gosiwon,You can live in a better place.
I want to escape from the gosiwon,You can live in a better place.
watching cat video,So cute right?
i want a cat,Grow yourself first.
i want a cat,Please discuss with your family.
"It's not intentional, but I think I made a mistake",Ask for forgiveness.
headstrong,Avoid if you can.
stubborn,Avoid if you can.
I can't play golf,No one is good at it from the start.
need to learn golf,go in time
golf is difficult,No one is good at it from the start.
I have to go play golf,go in time
I want to eat giblets.,Please charge in advance.
reminds me of giblets,Please charge in advance.
civil servant will be fine,Stable and nice.
i want to be a civil servant,Get ready.
I wish I could be a civil servant,Get ready.
Studying for civil service exam is difficult,I wish you success!
I think I will die in the civil service exam,How easy is it to become an iron rice bowl?
The civil service exam is difficult.,How easy is it to become an iron rice bowl?
Are you ready to become a civil servant?,"Beginning is half done. Come on, get ready."
Are civil servants good?,Stable and nice.
I'm on an empty stomach so my nerves are sensitive,It's a natural phenomenon.
I'm sensitive because I'm on an empty stomach,It's a natural phenomenon.
Are you sensitive on an empty stomach?,There is nothing to see.
can i continue studying,It will be fine like now.
let's study,Let's have fun studying.
Should I study,Your future spouse will change.
Should I stop studying,I guess I'm not sure
can i start studying,Studying is always good.
why do i have to study,"The more you study, the more options you have."
I'm not good at studying,Shall we chat and play together?
I want to study well,Find your own study method.
I should study more,It's still not too late.
I don't like studying,Shall we chat and play together?
I don't think studying is my constitution,I guess I'm not sure
Can I make a living by studying?,It will be fine like now.
Is my study method wrong?,It is urgent to find a study method that suits me.
I don't like to study,You can take a break.
Days when I don't want to study,You can take a break.
I have no pleasure in studying,"The more you study, the more options you have."
why study?,"The more you study, the more options you have."
no reason to study,"The more you study, the more options you have."
Disclosure preparation is difficult,I wish you success!
Disclosure preparation is difficult,It will work out.
Preparing for Disclosure,There will be good results!
It is difficult to prepare for publication,It will work out.
I'm a public official,There will be good results!
I want to see a performance,Go with your friends.
I want to go see a show,Go with your friends.
Is it hard for me to write in a notebook?,There are some differences in attitude.
I have panic disorder.,Take medicine regularly and treat yourself.
I have panic disorder,Take medicine regularly and treat yourself.
Home is the best for the holidays,It's good to relieve fatigue.
Stay home on holidays,It's good to relieve fatigue.
Forget the past and move forward,Today is important.
the past doesn't matter,Today is important.
Indigestion from overeating,Bring digestive aid.
I must have eaten too much,Overeating is prohibited.
ate too much,Take a digestive medicine.
Will there be extra fees?,I'd be lying if I said no.
Is tutoring expensive?,I'd be lying if I said no.
Eat fruit and go to sleep,I really like seasonal fruits.
you should eat fruit,Take care of your health.
I can't eat fruit,Try to eat it though.
I can't eat fruit well,Try to eat it though.
I need to eat some fruit,I really like seasonal fruits.
The relationship continues to be ambiguous.,Human relationships also need to be sorted out.
I want to turn off attention.,There are times when indifference is needed.
If you're not interested,There are times when indifference is needed.
it's like arthritis,Be careful with the stairs.
Is it arthritis,Be careful with the stairs.
Ads don't end,Please turn the channel.
I'm getting better,I'm glad you're getting better.
"He's a nice guy, but I don't want to date him","""boyfriend Be a girl friend."""
Don't touch me,You must be very tired.
I waited for no reason,Waiting for someone is not easy.
I messed up because I was joking,It's not too late.
I wasted my precious time,Think of it as an experience.
I'm embarrassed for nothing,You don't have to.
I feel like becoming a monster,Not so.
Kyobo Bookstore is here,Find a book you like.
liberal arts class is fun,I want to hear it too.
There's a kid I like in liberal arts class,I want to be in the same group.
Liberal arts classes are so much fun,It is fun to accumulate knowledge.
There's a kid I like in liberal arts class,I want to be in the same group.
Liberal arts classes are fun,It is fun to accumulate knowledge.
Liberal arts is more fun than major,I want to hear it too.
Can I get a teaching job?,Manage your grades.
there was a car accident,Take care of insurance.
I got into a car accident,Take care of insurance.
I hate going to church,Why?
I met you at church,I hope it was a good meeting.
I met you at church,I hope it was a good meeting.
He makes me work hard while harassing me,I guess it's because I don't know what to do.
Can I wait until I come back from the military?,"If you live your own life, you will be able to wait."
to wait for the army,"If you don't feel pressured, I think you can wait."
can i wait for the army,"If you don't feel pressured, I think you can wait."
Will it be burdensome if I wait for the army?,Do not worry too much.
can i wait for the army,"If you live your own life, you will be able to wait."
When will the army end,The military clock doesn't stop.
wait for military service,The military clock doesn't stop.
good morning,Good morning.
Five hundred won if you're curious,I'm not curious.
Are you curious?,I'm not curious.
curious,Please elaborate.
"I'm curious, tell me",Please elaborate.
ear hurts,go to the hospital
my ears itchy,Guess who's cursing
tickled my ears,Guess who's cursing
my ears are buzzing,go to the hospital
how about farming?,"It's easy to think, but difficult to put into practice."
I think he doesn't like me,It's a sad story.
I hope that person likes me,I will also pray earnestly.
I hope that person is happy,It could be.
It was all like that in those days,I need it when I'm lost in memories.
I'll just confess,Regret only breeds regret. Be brave.
just want to be a civil servant,"Beginning is half done. Come on, get ready."
I wish I could just leave you alone,Take a trip to a place where no one is.
Shall we just take a look?,meet a lot
i just want to rest,Come get some fresh air.
i just have to chew,Other people will be frustrated.
I just want to live like this,Live the way you want to live.
Aren't you just sleeping?,You must be very tired.
"I guess I could just say I was wrong, but I keep making excuses",Avoid if you can.
I should just take a taxi.,come carefully.
just do it?,Action speaks louder than words.
I should just eat alone,I live by my heart.
I just like being alone,Don't be alone.
How have you been?,Thank you for asking how I am doing.
It was like that then,I need it when I'm lost in memories.
yes then,I hope it's a good choice.
so,yes you did
yes i've decided,There will be good results.
I was expecting a bit though,Give with a happy heart and don't expect anything in return.
why do you say that,Don't care what others say.
I guess I should be that kind of person,You are a big person.
I must be that kind of person,You are a big person.
"I wasn't that kind of friend, but it annoys me so much",My friend seems to like it.
While going like that,tell a story
"Even though I've lived so long, I still don't understand",There is no complete understanding.
I will do that,I hope it's a good choice.
I want to draw well,"If you go to an academy or practice, you will be able to do well."
I wish I could draw better,"If you go to an academy or practice, you will be able to do well."
I want to quit and come out,"If you have the confidence to take care of yourself, do it."
I need to stop eating,eat a little
I want to stop living,value you
just such a day,Have a grateful heart for such a day.
I found a nice place,Go with a nice person.
You'd be cool if you had muscles,Are you talking about that?
Do you know the price of gold?,expensive.
how is the gold price,expensive.
Is it gold?,Are you confused whether it's a favor or a crush?
Wouldn't it be nice to be born with a golden spoon?,There must be something not working out.
If you were born with a golden spoon,Make your child a golden spoon.
I wish I was born with a golden spoon,Make your child a golden spoon.
quitting smoking is not easy,You have to overcome yourself.
I sucked,I must have been too nervous.
It's annoying to celebrate all the anniversaries,I'll be happy if you take care of the anniversary.
I forgot my anniversary again,Write it down on your calendar.
I didn't celebrate the anniversary,Write it down on your calendar.
Tired of celebrating anniversaries,I'll be happy if you take care of the anniversary.
tell me the function,dare to say that I can support your life.
Tired of waiting,don't wait
I can't tell you to wait,Leave it to the other person's choice.
I guess waiting has become a habit,You are a good person
my expectations have collapsed,"Give, but don't expect anything in return."
"Expectations are burdensome, but is there a way to shake them off?","The more you love yourself, the more you don't need external recognition."
I was expecting,Expectations from others make you sad.
don't expect,"Give, but don't expect anything in return."
I expected,Give with a happy heart and don't expect anything in return.
someone to lean on,It must be great luck to have someone you can rely on by your side.
I have no energy,Talk openly about your feelings to the people around you.
oil price went up,Please use public transportation.
I don't think you even know what the basics are.,The basics that each person thinks may be different.
it's not basic,The basics that each person thinks may be different.
I made a donation,You did a good job.
donated,You did a good job.
feel good,Tomorrow will be better than today.
I keep making bad jokes,Please color it once.
"I'm feeling down, so I'm walking",It will clear up a bit as you walk.
I want to change my mood,come with me
I need a change of mood,come with me
I feel like that,Listen to exciting music.
I feel dirty,Listen to upbeat music.
I feel strange,Why?
I feel strange,Think about why.
Is the dorm okay?,It would be more uncomfortable than living alone.
dormitory run out,"Next semester, try to manage your grades more diligently."
How about living in a dorm?,It would be more uncomfortable than living alone.
Are you uncomfortable living in a dorm?,It would be more uncomfortable than living alone.
I'm sorry for the dorm,"Next semester, try to manage your grades more diligently."
Shall we learn technology,Knowing a lot about technology will help.
I want to travel by train,This is the trip I've been dreaming of.
I want to go on a train trip,This is the trip I've been dreaming of.
I can't even cough,It's a frustrating situation.
I can't even cough comfortably,It's a frustrating situation.
I got gift con!,It's good for you!
Is it okay to give gift corn?,I think it would be better to give it directly.
Shall we give a gift cone?,I think it would be better to give it directly.
Would you like it if I gave you a gift cone?,I think it would be better to give it directly.
I got it as a gift con,I hope
I'll have to give it as a gift,I think it would be better to give it directly.
missed the chance,A better opportunity will come.
I didn't get a chance,A better opportunity will come.
"Since it's an agency, there must be a lot of pretty kids","If you prepare for celebrities, they will all be prettier than ordinary people."
There must be a lot of pretty kids in the agency,"If you prepare for celebrities, they will all be prettier than ordinary people."
Long hair is difficult to manage.,So I can't grow and cut it.
It's hard to manage long hair,So I can't grow and cut it.
It took a long time but it's okay.,I'm glad you're getting better.
tell me how to relax,take a deep breath
nervous,take a deep breath
I'm sweating because I'm nervous,Don't be nervous ahead of time.
Can I give you my phone number if you ask me on the street?,Give it to me if you like it.
I hate people who smoke on the street,I hate it too.
I got a number on the street,Good luck.
Can I give it to you if I ask you on the street?,Give it to me if you like it.
Got hunted on the road,Good luck.
The road is long and the sun sets,You can get over it though.
I almost slipped because the road was slippery,be careful.
I can't see the way,Don't be too discouraged.
I almost slipped because the road was icy,be careful.
the road is frozen,Be careful as it is slippery.
I want to eat Kim Tteoksun.,Eat little by little for your health.
no kimchi,Let's go to the mart.
I want to eat kimchi fried rice,I hope you have a delicious meal time.
Should I make kimchi fried rice?,I hope you have a delicious meal time.
I want to eat kimchi stew,Delicious!
Kyaa oppas comeback,must have waited
"It's dark, but there's no electricity.",Wait a little bit and the electricity will come back on.
I think I'm skinny,It's suitable.
I think I'm going to look ugly,Be tough on yourself.
I want flowers,I'd like to give it to you.
i want to buy flowers,The atmosphere in the house will change.
Shall I buy flowers?,The atmosphere in the house will change.
Do you like flower gifts?,Flowers are always nice.
Shall I give you flowers?,Flowers are always nice.
dried flowers,You're good at it.
Crab soup is delicious.,Look good.
Crab soup is a real rice thief,Look good.
learning flower arrangement,It's a good hobby to relax your mind.
It's good to learn flower arrangement,It's a good hobby to relax your mind.
I want to go flower viewing,Cherry blossom season is approaching.
I need to dry the bouquet,Turn it upside down to make dried flowers.
It would be nice to dry the bouquet.,Turn it upside down to make dried flowers.
I got a bouquet,I envy you!
I bought a bouquet,What a gift.
Is it okay to present a bouquet of flowers?,It's a sensible gift.
I received a bouquet of flowers,I envy you!
How about a bouquet gift?,It's a sensible gift.
I prepared a bouquet,What a gift.
What's the best between a flower basket gift and a fruit basket gift?,I envy the recipient.
Would you rather have a flower basket or a fruit basket?,I envy the recipient.
Receiving a flower gift,I'd like to give it to you.
honey jam,I'm happy too
I have many dreams,Let's do it step by step.
I have too many dreams,Let's do it step by step.
The dream was so scary,You must be sensitive these days.
I have many dreams,"The more, the better."
I have two dreams,It's okay to have more.
no dreams,You don't have to be grandiose.
Will the dream come true?,Make reality like a dream.
dreams keep changing,"The more, the better."
If the dream was real,Make reality like a dream.
It's futile because it's over,Not many things go your way.
I thought it would be nice when it was over.,I guess your mind is empty.
"I got a strange feeling, but it caught me",I hope it works out.
I had a clue and it caught on,I hope it works out.
I must have been an emotional trash can,Please love yourself more.
were you kidding me,I hope not.
People like me shouldn't be raising animals,You know.
Why do you want a pretty girl like me,Maybe it's an expression of affection.
i can't lie,It's all over my face.
Did I make a good decision?,"""yes Now it's your turn to do well."""
i decided,There will be good results.
am i not okay,He's a good person.
Can I get a teaching job?,Manage your grades.
what have i been doing,It would be nice if you came to get some fresh air.
I'm him,Find a friend who will buy you food!
I have to go to the dorm tomorrow,Don't forget to pack your bags.
I'm obese,Control your diet and exercise regularly.
i am so ugly,It's beautiful enough.
i'm so shy,It's meticulous.
buy me a laptop,Laptops are expensive.
Is it easy to tease me?,Absolutely not.
who am i,I'm curious too.
i guess i'm missing,Please ask to check.
should i do something else,You might want to try it.
I'm not rough,"Even if people don't know, there will be people who know."
What should I do with the person who talks behind my back?,Don't worry too much about it and just let it go.
I have a kid who talks behind my back. What should I do?,Don't worry too much about it and just let it go.
i was expecting a lot,Expectations from others make you sad.
I think I made a mistake.,Reflect carefully.
I feel like I'm cheating every day,Pleasantly fool me.
have a bad head,Don't beat yourself up.
I think I'm the only one in my head,Don't beat yourself up.
I sleep first,good night
Why are there so many things I don't know,It's natural.
It seems like I'm secretly dating,You are quick-witted.
I feel like I've been ignored,Don't deal with people who make you think that way.
I think you're ignoring me,Don't deal with people who make you think that way.
What about people ignoring me?,Ignore it.
People ignoring me are annoying,Ignore it.
i think i have a lot of problems,The problem is to be solved.
what am i doing,I'm bruised.
I'm meeting you!,I wish you success.
i want to change,can change positively
Am I a fool,Fools don't call themselves fools.
I am unemployed,play with me
I feel like I've been abandoned,It won't be.
think I was voice phishing. What should I do?,Call the police and see what action you can take.
i'm obese,Exercise healthily.
do you love me,I love you so much!
I'm getting an award!,congratulations!
i bought new clothes,Start wearing knickers.
I'm crazy about paperwork,Don't beat yourself up.
I'm on a blind date!,I wish you success.
I think I've been tricked,Don't be fooled next time.
As if I was tricked,I feel bad.
I'm going on a school trip,Come and make good memories with your friends.
I guess I'm addicted to my smartphone,Live without a cell phone sometimes.
i got promoted,Congratulations as much as the sky and the earth
did i make a mistake,Think carefully.
did i make a mistake,Reflect carefully.
am i a kid,"If you're thinking about it, you will."
I don't think I'm an adult yet,"Mental age is important, not physical age."
i'm still a kid,"Mental age is important, not physical age."
How do I look?,He's a good person.
what am i doing here,I'm bruised.
"I'm too bad at acting, I can't lie",It's all over my face.
i will work hard,That's a good attitude.
I'm miserable today,I live too.
I look good today,I guess I got a bean pod on myself.
I got an award today,congratulations.
I'm totally blown away!,congratulation!
i'm bullied,Get along well with your friends.
i think i'm bullied,Ask your parents for help.
why am i stupid,It will be different next time.
Why am I like this?,Don't beat yourself up.
why am i ugly,It's beautiful enough.
I think I'm living my mind these days,Calm down.
I think I'm being cursed at,Don't worry about other people's eyes.
look at me funny,Look at yourself in front of the mirror.
I have a kid who ignores me,Pick up and ask.
am i weird,"Walk your own pace, no one else's."
am i weird,"Extremely ordinary, yet extremely special."
i'm graduating now,congratulations on graduation
i want to be recognized,I am still doing well enough.
i will be able to live well,I will live better than now.
am i good looking?,yes you are handsome
I don't know if I'm doing well,You're doing great.
Am I doing well?,You're doing great.
I'm not good at anything,He's good at talking to me.
I guess I'm not good at anything,Maybe you haven't found what you're good at yet.
can i do well,"""like now I can do better than I do now."""
I'm becoming a monster,Not so.
tell me calmly,focus on yourself Always put yourself first.
don't touch me,I want to take care of you.
tell me not to touch me,You must be very tired.
I want you to leave me alone,You must be very tired.
if you leave me alone,Take a trip to a place where no one is.
I wish I didn't touch you,You must be very tired.
if you like me,Approach first.
I think I'm cool,I agree.
give me a compliment,I'm still doing well.
I want to make you like me,I like you.
i think i like it,Are you confused whether it's a favor or a crush?
Will there be someone who likes me?,I like it too.
do i have wrinkles?,You are beautiful even if you are
i'm about to die,I hope you are okay now.
i think i'm going to get fired,Go back to the beginning and work hard.
I feel kind of pitiful,I live too.
I need someone to take care of me,I want to take care of you.
i look like a genius,It's a long way for me to follow.
i'm a genius,It's a long way for me to follow.
I'm really good at soccer,People who are good at sports are cool.
I want to be recognized by my friends,It is still being recognized.
Like I'm bulimic,Observe me and focus on the food itself.
I think I'm addicted to my phone,Put your phone down for a second.
I play phone games too much,Set a time.
I played the phone game for a few hours.,Set a time.
i can do it,Go for it!
I want to fix my careless talk,Start with the desire to fix it.
I work overtime alone,I will pray that you finish soon.
I'm traveling alone and it's okay,It's time to fully feel it.
i watch soccer by myself,"When I watch soccer, it's chimaek."
I'm not very good at makeup,It increases as you do it.
I'm not good at makeup,It increases as you do it.
I want to be recognized in my company,Try self-development.
I'm too lazy to go out,There are many things to do at home too.
I guess I'm just living,Make a little change today.
"I'm in a bad mood, keep saying it's a joke",Please color it once.
i am weak,Absolutely not.
Who am I,I'm curious too.
I think I'm a lacking person,I'm not short on it.
I can do anything.,Go for it!
what am i good at,"If there is one, try hard to find it."
why am i like this,Don't beat yourself up.
Why was I born this way?,The reason we were born differently is to have our own voice. Please hear your own voice.
why was i born,I was born to be loved.
I don't think I know how to do anything,Let go of the pressure to do well.
what do i like,Experience it in a variety of ways.
I'm good... .,I must have hit a wall of reality.
don't have friends,"If your friend hears it, you might feel sad."
I thought we were friends,I guess I got hit in the back.
I'm a good person too,There will be someone who will notice.
I want to be treated too,Say it out loud.
I want to wear a bikini too,Diet fighting!
I want to win an award too,You can get it next time.
Shall I gather herbs too?,Go to a nearby mountain.
i need a paycheck too,"The more you earn, the better."
I want to be comforted too,I'll give you a lot of comfort.
I'm going to be an event too!,congratulations!
am i a kid now,"If you're thinking about it, you will."
Shall I go to China too?,Find out more and do it.
I want to buy a house too,There must be someone you want to live with.
I want to wear a couple look too,Make a couple first.
I'll be fine,You'll do great!
Shall we go on an outing?,let's go together.
a guy like me,Everything will be fine.
play with me,let's hang out together.
Come play with me,I am doing it now.
Stories that have nothing to do with me,Forget it.
It must have been hard being with me,Please understand the other person.
drowsy,It's okay to do nothing.
I hope you wait for me,Don't burden the other person too much.
made me wait too long,I must have thought a lot while waiting.
treat me so carelessly,Say it kindly whenever that happens.
you made me smile,Make the other person smile too.
what can change me,I like it now too
I guess you didn't think of me as a friend,Skip such a friend.
What about people who know me as a hogu?,don't be submissive
"He's the one who gives me a hard time, I want to hold on to him",Don't drag on.
only crack me,Maybe it's an expression of affection.
I guess I was waiting,Waiting for someone is not easy.
I feel like I'm the only one living without a dream,"As you live, you may find something you want to do."
I don't have a boyfriend,you know i have
I feel like I'm falling behind,Don't get caught up in the obsession that you have to compete and win.
I don't have any classmates,You will be able to make friends.
You look happy except for me,Other people will have their own troubles and worries.
I'm the only one excited,That person will be thrilled too.
I'm only excited,That person will be thrilled too.
I'm alone,you know i have
Baby only,Have a conversation with your spouse.
I'm the only one working overtime,I will pray that you finish soon.
I think I'm going to be funny,Be tough on yourself.
I'm the only one who's weird,Whoever said that would be the strangest.
just got weird,Whoever said that would be the strangest.
Explosion of annoyance by making only me work,Try requesting the work split again.
I'm the only one stepping in place,Don't be too afraid of no progress.
As if I'm in my place,It's okay to stay where you are
I just couldn't get promoted,I will definitely be promoted next time.
Did you think I was your friend?,I guess I got hit in the back.
I guess you thought of me as a friend,Skip such a friend.
Aren't I the only one having a hard time?,Everyone has a hard time.
I think I need some time on my own,You need time to talk to yourself.
i need my own time,You need time to talk to yourself.
Everyone seems happy except for me,Others may think that way when they see you.
i had a bad dream,Dreams are the opposite of reality.
I was ignored because of my age,This is the typical old style.
Ignore you for being young,This is the typical old style.
Can I get a job at my age?,Age is just a number.
"Now that I'm old, should I take some nutritional supplements?",Health should be taken care of from an early age.
"As I got older, I shed more tears.",It's because I worry about the world all by myself.
I get wrinkles because I'm old,It's a beautiful nightstand.
What do you eat and buy later?,Find out what you really want to do.
